EMPIRICAL,ENGINEERING,OTHERS,THEORETICAL,order_id
0.3223782181739807,0.7003154158592224,0.024972155690193176,0.32075047492980957,T00001
0.08601711690425873,0.8269290328025818,0.1393306404352188,0.0715247169137001,T00002
0.043424222618341446,0.5933415293693542,0.017536671832203865,0.7354432344436646,T00003
0.0744398981332779,0.07825034856796265,0.005983411800116301,0.9632347226142883,T00004
0.11583257466554642,0.7498338222503662,0.00434492900967598,0.4867439866065979,T00005
0.2412504404783249,0.314048171043396,0.00885783601552248,0.7847822308540344,T00006
0.39314165711402893,0.4112228751182556,0.1871180683374405,0.1768261045217514,T00007
0.18725939095020294,0.5894850492477417,0.010881897062063217,0.4589392840862274,T00008
0.66576087474823,0.05736975371837616,0.05217531695961952,0.6437051892280579,T00009
0.09679676592350006,0.6369404792785645,0.015047052875161171,0.518049955368042,T00010
0.2277366667985916,0.6318214535713196,0.013778462074697018,0.33078327775001526,T00011
0.31753063201904297,0.5955546498298645,0.005440623965114355,0.2930103838443756,T00012
0.02816937491297722,0.5015978813171387,0.005141225177794695,0.8254906535148621,T00013
0.07843075692653656,0.2804863750934601,0.021139979362487793,0.832033634185791,T00014
0.06131073832511902,0.6242615580558777,0.0013603696133941412,0.6343809962272644,T00015
0.35086676478385925,0.8489118218421936,0.008853089064359665,0.1894465833902359,T00016
0.1851159781217575,0.7820357084274292,0.013622059486806393,0.2180030196905136,T00017
0.214588463306427,0.7526741027832031,0.06136470288038254,0.13282276690006256,T00018
0.20272742211818695,0.8112168312072754,0.013706685043871403,0.22296054661273956,T00019
0.014296099543571472,0.13104429841041565,0.008278978057205677,0.9520329833030701,T00020
0.024521686136722565,0.19444696605205536,0.001755789970047772,0.9672351479530334,T00021
0.12222304940223694,0.24658939242362976,0.01962381601333618,0.7749158143997192,T00022
0.04477502778172493,0.10633411258459091,0.00882017146795988,0.9460610747337341,T00023
0.09059303998947144,0.4400911033153534,0.01035365555435419,0.6970965266227722,T00024
0.2137604057788849,0.39812472462654114,0.013044244609773159,0.7095390558242798,T00025
0.21323658525943756,0.823154091835022,0.00532936118543148,0.22940883040428162,T00026
0.07931546866893768,0.32600054144859314,0.003162327455356717,0.8620700240135193,T00027
0.44489431381225586,0.8308439254760742,0.01712663099169731,0.16759897768497467,T00028
0.25587591528892517,0.040535520762205124,0.012063305824995041,0.9000011086463928,T00029
0.1089705303311348,0.7016603350639343,0.003325723111629486,0.5684842467308044,T00030
0.1752128154039383,0.8881623148918152,0.04924974963068962,0.057984232902526855,T00031
0.2899528443813324,0.15704119205474854,0.03897196426987648,0.7415430545806885,T00032
0.42377129197120667,0.6160053610801697,0.037608593702316284,0.12924206256866455,T00033
0.1427217274904251,0.6866984367370605,0.013348463922739029,0.3797258734703064,T00034
0.3968285620212555,0.6858217120170593,0.0036228816024959087,0.1966695338487625,T00035
0.3084486424922943,0.74559485912323,0.010473270900547504,0.1125408336520195,T00036
0.8553549647331238,0.22936517000198364,0.017559625208377838,0.2030521184206009,T00037
0.6551985740661621,0.5099745988845825,0.0284888818860054,0.12010687589645386,T00038
0.22336475551128387,0.815202534198761,0.06494598090648651,0.11673223227262497,T00039
0.05619772896170616,0.3397786617279053,0.008955886587500572,0.8423396348953247,T00040
0.6586317420005798,0.627648651599884,0.01799776218831539,0.1056506484746933,T00041
0.12139471620321274,0.7894819974899292,0.13795635104179382,0.07982366532087326,T00042
0.3393558859825134,0.4368521571159363,0.02499471977353096,0.4593721628189087,T00043
0.1472524106502533,0.06743383407592773,0.019253067672252655,0.9050392508506775,T00044
0.5958150625228882,0.670081615447998,0.0057292720302939415,0.35769131779670715,T00045
0.18769648671150208,0.5358598828315735,0.01973341964185238,0.5303605198860168,T00046
0.4036344587802887,0.5008697509765625,0.01713714934885502,0.36082905530929565,T00047
0.16499647498130798,0.7203840017318726,0.006494410801678896,0.36214619874954224,T00048
0.49838531017303467,0.6553874611854553,0.028360186144709587,0.06519054621458054,T00049
0.3125481605529785,0.4236193299293518,0.005781405605375767,0.6514285206794739,T00050
0.5818862915039062,0.56184983253479,0.017633920535445213,0.2213631123304367,T00051
0.10902202129364014,0.24855072796344757,0.0043574185110628605,0.8795942068099976,T00052
0.2265523374080658,0.23058082163333893,0.25251346826553345,0.2264891415834427,T00053
0.06726554036140442,0.46994519233703613,0.004277540370821953,0.8437466621398926,T00054
0.06675636768341064,0.7673343420028687,0.01250261627137661,0.2825380265712738,T00055
0.2232678234577179,0.7620888948440552,0.03604566678404808,0.23345617949962616,T00056
0.00916919857263565,0.12949733436107635,0.002652128227055073,0.9906959533691406,T00057
0.49974045157432556,0.5974687933921814,0.005163945257663727,0.36266374588012695,T00058
0.03071138821542263,0.29485321044921875,0.0028577446937561035,0.9481760263442993,T00059
0.2498144954442978,0.8270444869995117,0.0371890626847744,0.07705048471689224,T00060
0.12618376314640045,0.6668873429298401,0.0046756938099861145,0.5589970350265503,T00061
0.29694443941116333,0.6468293070793152,0.00282128038816154,0.5397771596908569,T00062
0.4197193682193756,0.2704753875732422,0.0017105491133406758,0.7459337115287781,T00063
0.16487067937850952,0.8279330730438232,0.022768160328269005,0.3044678866863251,T00064
0.09619243443012238,0.541102409362793,0.010471876710653305,0.7876266837120056,T00065
0.013517230749130249,0.0150153124704957,0.007329103536903858,0.9929584264755249,T00066
0.08360058814287186,0.09270572662353516,0.005567841697484255,0.922927975654602,T00067
0.04302990064024925,0.8983116745948792,0.013905150815844536,0.18278755247592926,T00068
0.4631999135017395,0.7122436761856079,0.004703789483755827,0.12612822651863098,T00069
0.40832847356796265,0.5611834526062012,0.009370449930429459,0.25774118304252625,T00070
0.31414204835891724,0.049275029450654984,0.9248126149177551,0.09797831624746323,T00071
0.04889746755361557,0.2160123884677887,0.002410046523436904,0.9527119994163513,T00072
0.4210153818130493,0.47282129526138306,0.015809107571840286,0.47648707032203674,T00073
0.3835570514202118,0.4699706733226776,0.008648199960589409,0.4942511320114136,T00074
0.08806783705949783,0.09929431974887848,0.010198757983744144,0.9611639380455017,T00075
0.11335309594869614,0.40679770708084106,0.004185376688838005,0.8449199795722961,T00076
